client_id,visitor_id,visit_id,start_time,confirm_time,total_time_spent,Variation_x,clnt_tenure_yr,clnt_age,num_accts,bal,calls_6_mnth,logons_6_mnth,Variation_y,gender_dichotomic
37423,368531344_83355278898,311519110_62877397316_636773,2017-04-05 23:32:51,2017-04-05 23:32:00,-51.0,Test,17.0,48.5,2.0,66037.22,6.0,9.0,Test,0
38283,903019674_51748678867,391359310_52526237406_333998,2017-03-29 11:06:20,2017-03-29 11:10:05,225.0,Test,7.0,55.5,2.0,120493.88,6.0,9.0,Test,0
42082,159834504_86783116612,829148934_9921404344_147548,2017-05-01 14:36:47,2017-05-01 14:42:51,364.0,Control,16.0,36.0,2.0,47308.03,0.0,3.0,Control,1
44060,368099332_80252248439,897062429_65421712627_71592,2017-04-07 18:00:08,2017-04-07 18:02:28,140.0,Control,5.0,44.5,2.0,142002.43,2.0,5.0,Control,0
44216,106495154_2979425095,687063223_33984232717_758527,2017-05-18 16:22:29,2017-05-18 16:26:32,243.0,Control,16.0,44.0,2.0,79616.53,6.0,9.0,Control,0
44705,87884205_27957779570,747248516_24137338282_592447,2017-05-20 08:42:47,2017-05-20 09:27:55,2708.0,Test,15.0,55.0,2.0,56823.68,1.0,4.0,Test,0
45131,683920784_15571221773,244261915_94378818692_365347,2017-05-12 10:15:28,2017-05-12 10:43:14,1666.0,Test,5.0,76.0,2.0,391280.54,6.0,9.0,Test,0
45232,396311649_48826079484,6435534_46302282847_973279,2017-04-22 11:11:00,2017-04-22 11:18:11,431.0,Test,4.0,63.5,3.0,33799.5,6.0,9.0,Test,0
48448,720593921_49875119289,331615026_46718458763_258848,2017-03-30 15:50:29,2017-03-30 15:52:06,97.0,Test,8.0,67.5,2.0,53172.78999999999,2.0,5.0,Test,0
48724,316724696_76229373240,450223076_1270239040_103471,2017-04-19 13:01:15,2017-04-19 13:03:53,158.0,Test,4.0,38.5,2.0,53276.8,4.0,7.0,Test,0
49450,519931502_26167985789,947417142_54079482666_997512,2017-04-09 13:59:19,2017-04-09 14:12:11,772.0,Control,22.0,62.5,2.0,31843.879999999997,3.0,6.0,Control,0
51526,935555432_19618565909,134346196_17609374757_449565,2017-05-12 00:25:18,2017-05-12 01:00:23,2105.0,Test,26.0,44.0,2.0,310116.58999999997,2.0,5.0,Test,0
52743,260503955_41917390553,406073591_12813388657_556131,2017-04-12 11:24:21,2017-04-12 11:26:48,147.0,Test,6.0,54.5,2.0,41265.11,1.0,4.0,Test,0
56294,281591841_49370524630,541315509_60344165848_536193,2017-05-14 14:34:50,2017-05-14 14:36:06,76.0,Test,7.0,27.0,2.0,27489.64,3.0,6.0,Test,1
56529,223252475_23090603948,526951008_47314864700_913042,2017-05-09 13:29:54,2017-05-09 13:50:43,1249.0,Control,14.0,38.0,2.0,79617.16,6.0,9.0,Control,0
58196,983697480_34448825600,434719687_79082603594_599873,2017-04-20 19:20:41,2017-04-20 19:30:36,595.0,Control,7.0,45.5,2.0,59031.46,6.0,9.0,Control,0
58456,85325676_4234306123,746763908_2522971987_50110,2017-05-04 12:21:45,2017-05-04 12:34:34,769.0,Control,15.0,61.0,2.0,33476.259999999995,5.0,8.0,Control,0
58917,62669646_83783891965,810899635_68884091887_154592,2017-05-12 13:53:26,2017-05-12 13:56:39,193.0,Control,14.0,73.0,2.0,135903.59,4.0,7.0,Control,0
59089,527550186_58690806202,468022558_49891098407_826256,2017-05-21 07:43:21,2017-05-21 07:46:44,203.0,Control,7.0,61.0,2.0,55961.32,0.0,3.0,Control,0
59782,418060379_33900106965,119411390_64352583480_163002,2017-04-07 12:17:59,2017-04-07 12:28:18,619.0,Control,6.0,65.5,2.0,368237.57,2.0,5.0,Control,0
59860,7157580_20984012168,13205605_14426073954_328700,2017-05-23 15:10:25,2017-05-23 15:17:11,406.0,Control,8.0,52.0,2.0,99777.08,3.0,6.0,Control,1
61650,262308157_99807681485,254033690_35572106518_980287,2017-05-14 19:18:05,2017-05-14 19:22:21,256.0,Test,10.0,50.0,2.0,208429.90999999997,0.0,3.0,Test,0
63796,564036747_43617938738,96935901_96299010757_626137,2017-03-29 12:28:25,2017-03-29 12:43:37,912.0,Test,15.0,79.5,2.0,49159.28999999999,6.0,9.0,Test,1
63879,605268032_30111756316,21615919_42279427556_317425,2017-03-29 18:46:41,2017-03-29 18:48:29,108.0,Test,15.0,36.5,2.0,242925.89,3.0,6.0,Test,1
67390,341684336_18998852028,929804902_70347234666_169199,2017-06-02 17:16:14,2017-06-02 17:20:21,247.0,Test,11.0,30.0,2.0,50085.64,1.0,4.0,Test,1
67925,207834758_83691442968,424449176_14511092812_205583,2017-03-29 17:28:04,2017-03-29 17:34:53,409.0,Test,16.0,47.5,4.0,1169571.27,5.0,8.0,Test,1
68963,287437938_75954439812,600852537_98969712679_569097,2017-04-19 19:54:00,2017-04-19 19:57:17,197.0,Control,31.0,56.5,3.0,100637.5,6.0,9.0,Control,0
71296,560596510_93496651717,135686535_86048174207_210653,2017-03-20 13:33:04,2017-03-20 13:49:09,965.0,Control,30.0,72.5,3.0,122614.26,3.0,6.0,Control,1
72221,82591170_39869421807,956817711_71574796386_258957,2017-04-06 05:33:06,2017-04-06 05:37:02,236.0,Control,11.0,50.5,2.0,629755.24,6.0,9.0,Control,0
72395,773646164_21249473485,826457357_74182695145_880036,2017-06-13 13:56:49,2017-06-13 13:59:31,162.0,Test,18.0,48.0,2.0,208866.05,4.0,7.0,Test,0
74976,809846003_57926678590,263786163_29851411293_612796,2017-04-26 20:27:31,2017-04-26 20:32:18,287.0,Test,10.0,47.5,2.0,90911.5,0.0,3.0,Test,0
76429,716855974_2529319254,415799059_35759073093_57864,2017-06-05 08:56:04,2017-06-05 08:57:42,98.0,Test,18.0,29.0,2.0,41369.28999999999,6.0,9.0,Test,0
76481,234717028_96089057365,883801380_12410896271_58910,2017-04-06 10:13:54,2017-04-06 10:18:17,263.0,Test,6.0,62.5,2.0,808107.3500000001,2.0,5.0,Test,0
76776,706771837_52194723708,489847726_61096430876_289538,2017-04-25 13:31:22,2017-04-25 13:30:03,-79.0,Control,27.0,62.5,2.0,56115.88,1.0,4.0,Control,0
77071,664003424_86243725561,196829956_78389432235_899482,2017-04-05 19:23:39,2017-04-05 19:30:16,397.0,Control,5.0,46.5,2.0,35284.29,1.0,4.0,Control,0
77513,549542040_9243616915,572459338_90294712339_721223,2017-03-30 12:32:33,2017-03-30 12:40:20,467.0,Test,11.0,33.5,2.0,68765.19,1.0,4.0,Test,1
80275,351892697_33634242105,313926841_56043201217_379367,2017-04-12 16:24:39,2017-04-12 16:36:36,717.0,Test,21.0,62.5,2.0,418691.28,2.0,5.0,Test,0
81303,422953578_81124801582,379346034_13262604316_787756,2017-03-29 12:37:53,2017-03-29 13:01:22,1409.0,Test,8.0,54.5,2.0,80813.12,6.0,9.0,Test,0
83447,554387165_75950158076,930956303_25456975683_487624,2017-04-02 16:11:58,2017-04-02 16:13:57,119.0,Control,17.0,48.5,2.0,190150.37,6.0,9.0,Control,0
83795,416513102_92928946465,680634076_99815567373_83871,2017-04-23 14:21:57,2017-04-23 14:32:52,655.0,Test,15.0,71.5,2.0,206570.43,6.0,9.0,Test,1
84976,876787261_95936074518,139734574_32428959876_504129,2017-04-14 17:15:49,2017-04-14 17:21:29,340.0,Test,6.0,38.5,2.0,73417.36,6.0,9.0,Test,0
86877,816834338_74160924176,37618547_92916428039_619239,2017-05-04 13:55:32,2017-05-04 13:58:22,170.0,Test,4.0,28.0,2.0,40308.74,1.0,4.0,Test,0
87300,910782635_46965641357,790735036_83228465635_51007,2017-04-04 12:58:49,2017-04-04 13:07:47,538.0,Control,5.0,27.5,2.0,44234.56,1.0,4.0,Control,0
89959,538130571_96270266585,285484394_68232793534_608817,2017-04-03 11:03:11,2017-04-03 11:12:27,556.0,Test,10.0,38.5,2.0,101858.64,4.0,7.0,Test,1
90324,186662783_10817257186,958190931_51635980078_332575,2017-05-15 23:21:47,2017-05-15 23:26:20,273.0,Test,14.0,45.0,2.0,165488.26,0.0,3.0,Test,1
91633,178563390_23741004084,619662771_70051122106_772990,2017-04-05 14:26:03,2017-04-05 14:32:48,405.0,Test,13.0,66.5,2.0,215699.98,3.0,6.0,Test,1
93127,44559662_12767213448,115049717_82186765278_162124,2017-06-20 13:27:48,2017-06-20 13:30:02,134.0,Control,8.0,44.0,2.0,63226.31,4.0,7.0,Control,0
93610,777650406_84069800466,174577322_36212807338_455989,2017-03-31 00:31:04,2017-03-31 01:22:23,3079.0,Test,9.0,58.5,2.0,52592.73,4.0,7.0,Test,0
93870,387100698_98924994192,687895566_3953259668_3017,2017-04-14 18:15:42,2017-04-14 18:20:13,271.0,Test,24.0,67.5,3.0,447075.08,3.0,6.0,Test,1
93915,122063064_22490029408,108622316_94547093641_110646,2017-04-12 13:56:57,2017-04-12 14:12:12,915.0,Test,5.0,53.5,2.0,50251.67,2.0,5.0,Test,0
95035,740191793_15566242582,614161976_58732816103_466584,2017-04-19 13:30:21,2017-04-19 13:41:52,691.0,Test,9.0,43.5,2.0,122439.85,1.0,4.0,Test,0
95453,8780335_22711124934,838547461_8870003354_311669,2017-03-27 15:13:27,2017-03-27 15:14:06,39.0,Test,6.0,34.5,2.0,55480.7,0.0,3.0,Test,0
96787,106981092_53960920167,458484632_9985749526_58896,2017-04-03 20:52:54,2017-04-03 21:00:31,457.0,Test,21.0,53.5,2.0,243856.44,5.0,8.0,Test,1
97590,438192032_99475936573,373303988_9311868916_944445,2017-04-08 22:45:35,2017-04-08 22:43:17,-138.0,Test,20.0,57.5,3.0,144610.18,6.0,9.0,Test,1
99811,433614331_56537729809,351444433_49073302132_618599,2017-04-11 23:30:14,2017-04-11 23:33:51,217.0,Control,13.0,38.5,2.0,127989.93,6.0,9.0,Control,1
100503,179430940_22221667793,658870887_30901269734_975842,2017-06-14 13:48:05,2017-06-14 13:52:07,242.0,Control,8.0,21.0,3.0,52099.619999999995,6.0,9.0,Control,0
103622,247918770_64527325923,385168450_451051977_830365,2017-04-24 13:38:42,2017-04-24 13:41:40,178.0,Test,4.0,24.5,2.0,44031.67,1.0,4.0,Test,0
103669,988276848_15432517939,223357755_92262131961_347333,2017-04-04 16:04:40,2017-04-04 16:06:54,134.0,Test,5.0,38.5,2.0,49681.33,6.0,9.0,Test,0
105026,649410248_25903995082,959385465_32502040406_790829,2017-03-29 12:22:08,2017-03-29 12:29:54,466.0,Control,15.0,62.5,2.0,56041.6,6.0,9.0,Control,1
105623,2287956_63451426604,59756434_3815270231_788937,2017-06-12 13:39:09,2017-06-12 13:44:23,314.0,Control,10.0,36.0,2.0,25662.19,6.0,9.0,Control,0
108419,302323057_460725211,257867077_44254240231_410826,2017-04-22 20:57:33,2017-04-22 21:01:22,229.0,Test,8.0,62.5,2.0,265422.21,6.0,9.0,Test,0
108438,713067968_90441430889,378683572_78317997494_115312,2017-04-12 13:09:25,2017-04-12 13:22:10,765.0,Control,6.0,28.5,2.0,27972.64,4.0,7.0,Control,0
109662,219601382_56270107115,747756614_58543207345_76672,2017-03-30 11:35:09,2017-03-30 12:03:17,1688.0,Test,17.0,54.5,2.0,177964.89,6.0,9.0,Test,0
110028,724068672_70419850586,291344952_64443458224_204932,2017-03-31 17:52:19,2017-03-31 17:58:32,373.0,Test,16.0,62.5,2.0,246589.93,5.0,8.0,Test,0
110212,550790319_20855504662,688457891_63774154784_788403,2017-04-20 11:38:18,2017-04-20 11:45:05,407.0,Test,21.0,54.5,3.0,72596.48,1.0,4.0,Test,1
110772,407832057_61100405773,764694720_56865792712_663679,2017-04-12 14:28:44,2017-04-12 14:32:45,241.0,Test,6.0,55.5,2.0,50050.5,3.0,6.0,Test,0
112766,830461011_47599544690,551725645_8957381599_376572,2017-04-26 08:55:36,2017-04-26 08:59:02,206.0,Test,4.0,36.5,2.0,93009.16,0.0,3.0,Test,0
117032,706284228_89294071101,128537977_3101309779_268222,2017-04-12 12:59:14,2017-04-12 13:19:53,1239.0,Test,10.0,59.5,2.0,298122.39999999997,6.0,9.0,Test,0
117916,9221636_77760367759,316063122_87877990809_481480,2017-04-05 00:50:58,2017-04-05 00:55:28,270.0,Test,6.0,28.5,3.0,180578.01,6.0,9.0,Test,0
118966,408771549_67362994578,306620485_61426600321_78538,2017-06-20 16:49:57,2017-06-20 16:52:17,140.0,Test,6.0,63.0,2.0,77358.67,4.0,8.0,Test,0
119634,820059231_33797236671,763070877_39147641592_532833,2017-04-15 16:42:21,2017-04-15 16:43:47,86.0,Test,13.0,34.5,2.0,86417.53,2.0,5.0,Test,0
120830,271327677_52020751414,942162831_96143093787_172438,2017-04-05 21:11:00,2017-04-05 21:19:24,504.0,Test,21.0,52.5,2.0,281501.51,6.0,9.0,Test,1
120872,396753504_86963657654,588316041_85828924142_223059,2017-03-29 11:42:50,2017-03-29 11:50:31,461.0,Control,15.0,64.5,3.0,187496.06,6.0,9.0,Control,0
121672,812622516_42182657306,881515614_65124905434_957883,2017-06-14 18:33:27,2017-06-14 18:39:47,380.0,Test,13.0,40.0,2.0,40925.619999999995,1.0,4.0,Test,1
122526,553682354_64525805330,2880544_83588084505_587668,2017-04-03 16:10:32,2017-04-03 16:20:11,579.0,Test,14.0,33.5,2.0,91617.46,4.0,7.0,Test,0
124916,922280837_89073485618,829479879_99502342682_854877,2017-04-08 16:36:23,2017-04-08 16:34:29,-114.0,Control,4.0,25.5,4.0,122076.85,5.0,8.0,Control,0
126285,356171425_32179587778,797761444_79213404346_865522,2017-04-18 14:45:18,2017-04-18 14:43:28,-110.0,Control,15.0,48.5,2.0,185926.18,0.0,3.0,Control,1
127331,959329776_13554384029,826817217_90226607085_585955,2017-04-05 20:11:25,2017-04-05 20:09:41,-104.0,Test,7.0,55.5,2.0,81821.54000000001,6.0,9.0,Test,0
128230,781133043_30282627574,359736234_52122079157_67245,2017-04-05 16:57:26,2017-04-05 17:00:59,213.0,Test,6.0,67.5,3.0,679606.67,5.0,9.0,Test,0
130452,5768439_5754036154,49851269_23396060408_421477,2017-04-09 11:36:56,2017-04-09 11:41:34,278.0,Test,25.0,31.5,2.0,31073.21,1.0,4.0,Test,1
130952,647076853_40338764708,876470613_44197312013_955106,2017-04-19 22:20:29,2017-04-19 22:19:20,-69.0,Test,14.0,45.5,2.0,35887.07,1.0,4.0,Test,0
133096,760726306_47609145074,533506245_4660018865_391810,2017-04-24 22:44:08,2017-04-24 22:46:59,171.0,Test,8.0,43.5,2.0,42900.22,1.0,4.0,Test,0
133522,127820124_48998568447,79937394_24303952331_627166,2017-05-14 17:43:32,2017-05-14 17:50:37,425.0,Control,3.0,58.0,2.0,28513.9,2.0,5.0,Control,0
134582,922783489_8647361524,313647601_1636648928_111788,2017-04-16 09:38:02,2017-04-16 09:51:01,779.0,Control,11.0,52.5,2.0,50558.259999999995,0.0,3.0,Control,1
135917,915293313_25294788378,452667585_68587615099_78161,2017-05-10 13:17:56,2017-05-10 13:21:09,193.0,Test,9.0,37.0,3.0,31593.57,6.0,9.0,Test,0
137555,317168872_26720518966,526000109_97318359489_49804,2017-04-17 13:58:04,2017-04-17 13:59:48,104.0,Test,5.0,29.5,2.0,62900.16,6.0,9.0,Test,0
140488,896555484_56781518393,419460650_51923579047_262759,2017-04-15 17:59:24,2017-04-15 18:01:52,148.0,Control,7.0,19.5,2.0,25485.74,2.0,5.0,Control,0
142579,929578411_26479654428,725363449_27118073336_426344,2017-05-13 08:21:48,2017-05-13 08:24:05,137.0,Control,10.0,38.0,2.0,69790.25,6.0,9.0,Control,1
143688,889569234_52604203280,183908220_63182847843_478416,2017-04-13 21:24:34,2017-04-13 21:29:03,269.0,Control,7.0,46.5,2.0,85853.87,2.0,5.0,Control,0
144169,924930322_25492173604,767796969_7389021417_607893,2017-05-03 13:15:46,2017-05-03 13:21:55,369.0,Control,9.0,29.0,4.0,58242.54,6.0,9.0,Control,0
145106,128987397_18068137531,743093584_97518989446_825000,2017-04-05 12:40:43,2017-04-05 12:43:28,165.0,Test,4.0,60.5,2.0,29587.32,1.0,4.0,Test,0
145810,370996738_87876273770,803679393_99131315668_776631,2017-06-10 13:51:37,2017-06-10 13:54:48,191.0,Test,18.0,65.0,2.0,43786.1,2.0,5.0,Test,0
146072,232729145_54971709504,353821716_22785223819_670502,2017-04-05 10:56:44,2017-04-05 11:17:36,1252.0,Test,26.0,59.5,3.0,188085.74,5.0,8.0,Test,1
148391,292534571_57475267009,880253115_29573443694_286682,2017-04-15 16:04:01,2017-04-15 16:21:57,1076.0,Test,8.0,64.5,2.0,744448.1900000001,1.0,4.0,Test,0
150095,603810144_64853948182,833908596_19049113073_872631,2017-03-29 11:15:28,2017-03-29 11:17:13,105.0,Test,8.0,26.5,2.0,42303.69,6.0,9.0,Test,0
152661,898034825_72883522114,212253070_82407792213_800251,2017-05-31 19:03:58,2017-05-31 19:07:54,236.0,Test,5.0,26.0,2.0,64038.27,6.0,9.0,Test,0
154150,637523864_82283430316,342265606_13186976646_580624,2017-06-19 11:27:44,2017-06-19 11:30:05,141.0,Control,19.0,40.0,3.0,76522.39,0.0,3.0,Control,1
154809,362686350_1165863340,44590071_61461739353_225457,2017-04-20 12:01:22,2017-04-20 12:24:52,1410.0,Test,27.0,65.5,2.0,116655.67,0.0,3.0,Test,0
156105,288047997_43693835876,59808574_72267588171_873414,2017-05-09 19:54:46,2017-05-09 19:52:15,-151.0,Test,21.0,51.5,3.0,343545.97,6.0,9.0,Test,0
158047,298044239_15680175640,978759989_20162934414_194885,2017-04-16 09:24:13,2017-04-16 11:05:55,6102.0,Test,18.0,55.5,2.0,68700.53,6.0,9.0,Test,0
159268,435857651_99177186625,101943895_86775091670_183092,2017-04-21 12:20:42,2017-04-21 12:30:31,589.0,Control,22.0,61.5,3.0,212553.62,5.0,8.0,Control,0
159558,692699119_22521216865,719256532_82126260083_809662,2017-04-26 18:16:38,2017-04-26 18:21:06,268.0,Test,12.0,60.5,2.0,410092.29,6.0,9.0,Test,0
159687,193902109_20096870770,665404943_89790119968_173141,2017-03-29 15:42:48,2017-03-29 15:45:01,133.0,Test,28.0,56.5,2.0,271369.13,0.0,3.0,Test,0
160741,252530510_15420051285,89903730_84996701889_496523,2017-05-20 18:51:44,2017-05-20 18:54:34,170.0,Test,4.0,22.0,2.0,31005.81,6.0,9.0,Test,0
162575,263192484_93650215896,620932817_13177318825_123646,2017-05-29 10:34:53,2017-05-29 10:38:04,191.0,Control,20.0,46.0,2.0,249834.71,6.0,9.0,Control,0
165765,762030461_15273940216,155285231_22111508321_796220,2017-04-09 13:00:44,2017-04-09 13:05:56,312.0,Test,6.0,28.5,3.0,274322.6,6.0,9.0,Test,0
166315,117610931_30872134110,919888287_52607116108_384977,2017-04-07 14:05:58,2017-04-07 14:04:33,-85.0,Test,14.0,65.5,3.0,314156.24,6.0,9.0,Test,0
168989,64777248_7974248122,703624301_99350915308_647346,2017-04-12 18:34:24,2017-04-12 18:41:20,416.0,Test,12.0,60.5,2.0,191000.26,4.0,7.0,Test,1
169620,401505363_34877128862,517261528_89509444923_815553,2017-03-29 11:59:07,2017-03-29 12:01:16,129.0,Test,21.0,49.5,4.0,71357.01999999999,4.0,7.0,Test,0
170660,505024126_55877288060,805743488_80848229671_613286,2017-04-06 15:16:13,2017-04-06 15:15:30,-43.0,Control,4.0,22.5,3.0,89587.83,3.0,6.0,Control,0
170798,942883240_4457711555,690476692_58252813971_188690,2017-04-10 10:28:34,2017-04-10 10:45:48,1034.0,Test,21.0,48.5,4.0,615804.56,4.0,8.0,Test,0
173122,394598523_25278376471,302825428_11287365913_548033,2017-05-14 15:39:02,2017-05-14 15:41:30,148.0,Control,15.0,44.0,2.0,26526.769999999997,4.0,7.0,Control,1
176963,647504309_96904736424,656321121_64098481976_947224,2017-04-03 14:32:32,2017-04-03 14:42:40,608.0,Test,6.0,30.5,2.0,34015.1,1.0,4.0,Test,0
177765,367440669_67268437273,134272328_3259285079_405001,2017-03-29 11:05:48,2017-03-29 11:10:52,304.0,Test,10.0,30.5,3.0,144253.99,1.0,4.0,Test,0
179076,514747686_57850340762,380011521_25496657940_948404,2017-04-28 08:28:18,2017-04-28 08:49:42,1284.0,Control,15.0,39.5,2.0,45695.07,1.0,4.0,Control,1
180142,550203880_76144302696,486144753_50871816674_257489,2017-04-03 18:53:18,2017-04-03 19:02:51,573.0,Control,4.0,53.5,2.0,56365.02,2.0,5.0,Control,0
180425,635962733_54217898396,691739677_16292456093_504523,2017-05-12 10:52:34,2017-05-12 10:56:22,228.0,Test,8.0,26.0,2.0,32144.53,1.0,4.0,Test,0
184211,49287014_29757242276,823954921_87616329879_734825,2017-05-31 11:37:58,2017-05-31 11:41:26,208.0,Control,5.0,25.0,2.0,45726.5,6.0,9.0,Control,0
184701,279986352_87908045091,465100869_54014331193_114964,2017-03-29 11:12:35,2017-03-29 11:15:22,167.0,Test,6.0,33.5,2.0,52971.78999999999,0.0,3.0,Test,0
185963,713896476_82336024795,828293428_55900336276_467525,2017-06-11 14:20:00,2017-06-11 14:21:26,86.0,Test,27.0,55.0,2.0,76686.18,2.0,8.0,Test,1
187547,460826062_67508634845,716062947_31748042145_467317,2017-04-11 07:54:20,2017-04-11 07:55:49,89.0,Test,14.0,56.5,5.0,74551.93,1.0,4.0,Test,1
187901,577062211_67956533259,313689879_43321298708_849942,2017-05-18 12:52:43,2017-05-18 12:55:00,137.0,Control,11.0,66.0,2.0,166577.95,3.0,6.0,Control,0
